network,treatment,lambda,seconds,incumbent_scale,claimed_gc,claimed_unserved,modelB_gc,modelB_unserved,modelB_served,modelB_gc_per_trip,modelB_veh_hours,gc_vs_base_pct,unserved_vs_base_pct,served_vs_base_pct,gc_per_trip_vs_base_pct,vh_vs_budget_pct,claim_gap_unserved_pct,n_route_periods_moved
splice|002|011|HIGFITN,path_level,4.0,134.78076839447021,1.0,1788413.1356247666,9810.33475783878,1788413.1356247666,9810.33475783878,21138.665242161227,84.60388180317852,2512.9320037483767,0.9748465847003507,-6.640988466355269,3.4139883502596557,-2.3586187946818327,-0.16889233011593285,0.0,105
splice|002|033|WESHIGW,route_level,1.0,13.004953861236572,1.0001727271948075,1687334.6837994808,3044.28676742187,1770602.8332169855,10304.157876429763,20644.842123570237,85.76490062839892,2436.7385974427334,-0.0973224317295629,-1.8100514463707196,0.9286224313875824,-1.0165053662697043,-3.1958234756017,-70.45574413814523,131
splice|002|033|WESHIGW,route_level,2.0,12.886967420578003,1.0001727271948075,1695614.6677866436,2915.8258208540165,1767006.7376416249,10341.185590695608,20607.814409304396,85.74449975849085,2441.75945940445,-0.3002248387686368,-1.4572085064213591,0.7476011297827823,-1.0400505389717485,-2.9963599762519055,-71.8037569746596,137
splice|002|033|WESHIGW,route_level,4.0,12.7861168384552,1.0001727271948075,1697150.6374166347,2886.9423967067814,1767069.0641943691,10337.399342661687,20611.600657338313,85.73177278035622,2446.7017124908693,-0.2967081893055612,-1.4932882621976562,0.7661113608593562,-1.054739074289368,-2.8000193672476748,-72.07283668734183,137
splice|002|033|WESHIGW,path_level,1.0,127.95770120620728,1.0001727271948075,1706846.967618828,10821.457164842961,1706846.967618828,10821.457164842961,20127.54283515704,84.80155683173885,2514.536090533131,-3.694617976753778,3.1193752108342077,-1.600353292997947,-2.128325409533016,-0.10516686508872386,0.0,105
splice|002|033|WESHIGW,path_level,2.0,130.18713355064392,1.0001727271948075,1775241.8959962528,9957.832032115406,1775241.8959962528,9957.832032115406,20991.167967884598,84.57089661291269,2513.583829286842,0.16442728670620355,-5.110245139424019,2.621742202893529,-2.394536346234477,-0.14299729379364523,0.0,110
splice|002|033|WESHIGW,path_level,4.0,136.92473673820496,1.0001727271948075,1782492.5212781345,9908.90877961713,1782492.5212781345,9908.90877961713,21040.091220382874,84.71885899198577,2512.6469681863136,0.5735291282457311,-5.576442542791671,2.860918479949026,-2.2237691297197437,-0.18021592177843715,0.0,101
splice|002|034|WESHIGW,route_level,1.0,12.7668776512146,1.0,1678255.9728796612,3071.285684172427,1823458.6353297015,9755.261069240605,21193.7389307594,86.03760956417352,2436.7901075861137,3.050575743108097,-7.012744093260315,3.596164521881562,-0.526649592956907,-3.1937771350472266,-68.51662233974933,131
splice|002|034|WESHIGW,route_level,2.0,11.920457363128662,1.0,1687980.7839346358,2919.363120350824,1818503.5873911656,9788.611416615495,21160.388583384505,85.9390450333736,2442.771341567028,2.7705471573165052,-6.69484821493207,3.4331461849661737,-0.6406060843056505,-2.9561609907756248,-70.17592183304563,134
splice|002|034|WESHIGW,route_level,4.0,12.426567554473877,1.0,1692805.5759443105,2869.191987617268,1813929.3145717226,9812.050278561132,21136.949721438872,85.81793203263776,2447.07967846779,2.5120376202661054,-6.471428724830075,3.3185757353509038,-0.7806322428899337,-2.78500393424701,-70.75848669583036,136
splice|002|034|WESHIGW,path_level,1.0,126.87169146537781,1.0,1718328.3037263576,10748.04511352149,1718328.3037263576,10748.04511352149,20200.95488647851,85.06173660516014,2514.3299010809033,-2.890738740194998,2.450484346289894,-1.2566186289363013,-1.6549160952042952,-0.11335814180254422,0.0,109
splice|002|034|WESHIGW,path_level,2.0,151.31661558151245,1.0,1785033.001634596,9817.455032991307,1785033.001634596,9817.455032991307,21131.544967008696,84.47243230068845,2514.1746912472513,0.8789971841799193,-6.419910546101216,3.292156997676643,-2.3362468977688122,-0.11952415409083317,0.0,106
splice|002|034|WESHIGW,path_level,4.0,137.63775658607483,1.0,1790824.3348677936,9778.220740545386,1790824.3348677936,9778.220740545386,21170.77925945462,84.58943872214967,2514.0085949017107,1.2062874294523684,-6.793892253622314,3.483936382541497,-2.2009686070208034,-0.126122654221561,0.0,108
splice|005|006|NMURBEAN,route_level,1.0,12.782987594604492,1.0,1673805.1742131952,2974.57185587427,1809953.3857345288,10008.247711643702,20940.752288356303,86.43210906710921,2440.0653257031217,2.195676864229279,-3.986562291525797,2.0245903427129175,0.16769145648283246,-3.063662730043959,-70.27879463441316,132
splice|005|006|NMURBEAN,route_level,2.0,12.024396896362305,1.0,1678080.0233809974,2904.970076255481,1806575.660672775,10045.748828848711,20903.251171151293,86.42558259865534,2442.7994252798007,2.004959853687538,-3.626797896748446,1.8418826697721213,0.1601278173972709,-2.9550453107057173,-71.08259298785988,137
splice|005|006|NMURBEAN,route_level,4.0,11.70902132987976,1.0,1681641.7357280208,2856.294055889365,1801961.3734014013,10101.20861038053,20847.79138961947,86.43416176442717,2447.339319189723,1.7444226405964658,-3.0947482879806865,1.571679316360286,0.17007036350962235,-2.774689201962921,-71.72324455358651,136
splice|005|006|NMURBEAN,path_level,1.0,134.57369542121887,1.0,1713403.4621538278,10962.481825207262,1713403.4621538278,10962.481825207262,19986.518174792745,85.7279615773594,2515.200975857841,-3.2558363456068107,5.167817202433467,-2.624494999913296,-0.6483574546729876,-0.07875300337648605,0.0,103
splice|005|006|NMURBEAN,path_level,2.0,140.31899547576904,1.0,1789280.2046555404,9785.597682163907,1789280.2046555404,9785.597682163907,21163.4023178361,84.54596183467014,2514.7999969964776,1.0284038560094633,-6.1225400722693335,3.1093545257122157,-2.0181977467270684,-0.09468266793661861,0.0,107
splice|005|006|NMURBEAN,path_level,4.0,142.60857343673706,1.0,1793439.4756930189,9760.396997772423,1793439.4756930189,9760.396997772423,21188.60300222758,84.64170457601536,2515.2003503314145,1.2632494173852926,-6.364301108840975,3.232133758568456,-1.9072397997583201,-0.07877785362947476,0.0,105
splice|005|021|NMURBEAN,route_level,1.0,14.878931760787964,1.0,1670298.3937209153,2903.4659764186745,1786013.4094467822,10269.369921849866,20679.630078150134,86.3658296931464,2438.1822061449916,1.1217405220957488,-2.5727554615079473,1.3287764421980208,-0.20432095143316786,-3.138473314286805,-71.72693165681912,131
splice|005|021|NMURBEAN,route_level,2.0,14.487573862075806,1.0,1674883.3065607944,2822.0201388313503,1776703.0604196386,10349.188761539017,20599.811238460985,86.24851169036131,2442.786106073758,0.5946007517484642,-1.8155006666808804,0.9376695736432072,-0.3398818531712311,-2.955574442051312,-72.73196765606495,136
splice|005|021|NMURBEAN,route_level,4.0,14.58957028388977,1.0,1676835.912531884,2794.449123382011,1775966.582159453,10343.144609101062,20605.855390898938,86.1874718845135,2446.102534645195,0.5529023170487202,-1.872842560300636,0.9672855082055509,-0.4104133225639073,-2.823822871654358,-72.98259640570876,137
splice|005|021|NMURBEAN,path_level,1.0,144.30177927017212,1.0,1695879.2458176853,11084.311408389083,1695879.2458176853,11084.311408389083,19864.688591610917,85.37154952098642,2514.2307739330554,-3.981537795115142,5.15873187392113,-2.6643812395854005,-1.3532112625408321,-0.11729616040195845,0.0,109
splice|005|021|NMURBEAN,path_level,2.0,155.97601580619812,1.0,1784055.938885939,9851.095448877337,1784055.938885939,9851.095448877337,21097.904551122665,84.56081193101262,2513.960288306568,1.0109111021786132,-6.540995935132132,3.378292821511475,-2.2900181989078727,-0.12804172759626198,0.0,105
splice|005|021|NMURBEAN,path_level,4.0,138.65139842033386,1.0,1789760.1471779095,9811.830358759358,1789760.1471779095,9811.830358759358,21137.169641240645,84.67359526158677,2514.283929202424,1.3338759062129002,-6.913510467753148,3.5706890840902616,-2.159697108958347,-0.11518446402033478,0.0,105
splice|006|021|NMURBEAN,route_level,1.0,14.828068256378174,1.000204836956281,1692088.135614715,3059.7196569621187,1806349.3205404908,9924.31409944911,21024.685900550892,85.91563883925421,2437.2583719738204,1.865660158209237,-4.507699089927753,2.27899834654568,-0.40412811527148484,-3.1751744221853673,-69.16945970974497,132
