period,od_index,flow,route,n_same_route_patterns,n_other_routes,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving,saving_same_route_min,flow_weighted_saving_same_route,saving_cross_route_only_min,flow_weighted_saving_cross_route
am_peak,480,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,482,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,484,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,484,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,487,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,488,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,492,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,493,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,493,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,494,0.2576370337296332,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.8340073710259652,0.0,0.0,11.0,2.8340073710259652
am_peak,496,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,497,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,502,0.10305481349185328,007,2,2,4,15.0,10.0,6.75,5.0,3.5,0.36069184722148645,0.0,0.0,3.5,0.36069184722148645
am_peak,510,0.3606918472214865,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.5410377708322298,0.0,0.0,1.5,0.5410377708322298
am_peak,511,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,512,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,514,0.20610962698370655,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.3091644404755598,0.0,0.0,1.5,0.3091644404755598
am_peak,515,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,516,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,518,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,532,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,532,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,536,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,537,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,538,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,540,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,541,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,542,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,543,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,543,0.15458222023777993,007,2,2,4,15.0,10.0,6.75,5.0,3.5,0.5410377708322297,0.0,0.0,3.5,0.5410377708322297
am_peak,544,1.442767388885946,102,1,1,2,30.0,10.0,10.5,5.0,11.0,15.870441277745407,0.0,0.0,11.0,15.870441277745407
am_peak,545,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,548,0.2576370337296332,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.8340073710259652,0.0,0.0,11.0,2.8340073710259652
am_peak,549,1.1851303551563128,102,1,1,2,30.0,10.0,10.5,5.0,11.0,13.036433906719441,0.0,0.0,11.0,13.036433906719441
am_peak,550,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,551,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,552,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,553,0.566801474205193,102,1,1,2,30.0,10.0,10.5,5.0,11.0,6.234816216257123,0.0,0.0,11.0,6.234816216257123
am_peak,554,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,555,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,558,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,559,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,561,0.15458222023777993,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792,0.0,0.0,11.0,1.7004044226155792
am_peak,563,0.20610962698370655,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.267205896820772,0.0,0.0,11.0,2.267205896820772
am_peak,564,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,565,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,566,0.30916444047555985,102,1,1,2,30.0,10.0,10.5,5.0,11.0,3.4008088452311585,0.0,0.0,11.0,3.4008088452311585
am_peak,567,0.10305481349185328,021,1,1,2,51.42857142857143,32.72727272727273,15.857142857142858,11.181818181818182,9.350649350649352,0.9636294248588879,0.0,0.0,9.350649350649352,0.9636294248588879
am_peak,568,0.2576370337296332,102,1,1,2,30.0,10.0,10.5,5.0,11.0,2.8340073710259652,0.0,0.0,11.0,2.8340073710259652
am_peak,569,0.10305481349185328,102,1,1,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386,0.0,0.0,11.0,1.133602948410386
am_peak,571,0.4122192539674131,102,1,1,2,30.0,10.0,10.5,5.0,11.0,4.534411793641544,0.0,0.0,11.0,4.534411793641544
am_peak,571,0.4122192539674131,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.6183288809511196,0.0,0.0,1.5,0.6183288809511196
am_peak,572,0.7729111011888996,102,1,1,2,30.0,10.0,10.5,5.0,11.0,8.502022113077896,0.0,0.0,11.0,8.502022113077896
am_peak,573,0.30916444047555985,102,1,1,2,30.0,10.0,10.5,5.0,11.0,3.4008088452311585,0.0,0.0,11.0,3.4008088452311585
am_peak,575,0.30916444047555985,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.4637466607133398,0.0,0.0,1.5,0.4637466607133398
am_peak,576,0.15458222023777993,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699,0.0,0.0,1.5,0.2318733303566699
am_peak,587,0.2576370337296332,007,2,2,4,15.0,10.0,6.75,5.0,3.5,0.9017296180537162,0.0,0.0,3.5,0.9017296180537162
am_peak,596,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,598,0.2576370337296332,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.3864555505944498,0.0,0.0,1.5,0.3864555505944498
am_peak,599,0.10305481349185328,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799,0.0,0.0,1.5,0.1545822202377799
am_peak,600,0.30916444047555985,034,1,1,2,15.0,12.0,6.75,6.0,1.5,0.4637466607133398,0.0,0.0,1.5,0.4637466607133398
