route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_veh_hours,optimized_veh_hours,veh_hours_change,runtime_min,direction
007,early,24.0,30.0,6.0,8.916666666666666,7.133333333333334,-1.7833333333333323,53.5,less service
008,early,26.666666666666668,30.0,3.333333333333332,13.25,11.777777777777777,-1.4722222222222232,88.33333333333333,less service
023,owl,51.42857142857143,60.0,8.57142857142857,9.1,7.8,-1.2999999999999998,39.0,less service
034,early,30.0,40.0,10.0,4.866666666666666,3.65,-1.2166666666666663,36.5,less service
010,early,21.818181818181817,24.0,2.1818181818181834,13.283333333333333,12.075757575757574,-1.2075757575757589,72.45454545454545,less service
007,evening,19.2,20.0,0.8000000000000007,22.516666666666666,21.616,-0.9006666666666661,54.04,less service
001,evening,15.483870967741936,15.483870968,2.580637925575502e-10,43.233333333333334,43.23333333261277,-7.205613883343176e-10,83.6774193548387,unchanged
010,evening,17.77777777777778,17.777777778,2.2222224060897133e-10,34.983333333333334,34.98333333289604,-4.3729642129619606e-10,77.74074074074075,unchanged
005,evening,28.235294117647058,28.235294118,3.5294078770675696e-10,26.666666666666668,26.666666666333338,-3.333298081997782e-10,94.11764705882354,unchanged
001,owl,65.45454545454545,65.454545455,4.545483989204513e-10,15.416666666666666,15.416666666559609,-1.070574739969743e-10,84.0909090909091,unchanged
002,owl,65.45454545454545,65.454545455,4.545483989204513e-10,14.566666666666666,14.56666666656551,-1.0115641657648666e-10,79.45454545454545,unchanged
004,evening,30.0,30.0,0.0,19.866666666666667,19.866666666666667,0.0,74.5,unchanged
004,early,48.0,48.0,0.0,5.8,5.8,0.0,69.6,unchanged
004,midday,30.0,30.0,0.0,30.916666666666668,30.916666666666668,0.0,77.29166666666667,unchanged
009,midday,60.0,60.0,0.0,19.866666666666667,19.866666666666667,0.0,99.33333333333333,unchanged
011,early,80.0,80.0,0.0,3.816666666666667,3.816666666666667,0.0,76.33333333333333,unchanged
