set_key,cardinality,members,lambda,seconds,incumbent_scale,edited_baseline_vh,modelB_gc,modelB_unserved,modelB_served,modelB_gc_per_trip,modelB_veh_hours,base_gc_this_network,base_unserved_this_network,gc_vs_base_pct,unserved_vs_base_pct,served_vs_base_pct,gc_per_trip_vs_base_pct,vh_vs_budget_pct,claim_gap_unserved_pct,gc_vs_noedit_pct,unserved_vs_noedit_pct,served_vs_noedit_pct,gc_per_trip_vs_noedit_pct,sum_of_singles_unserved_pct,sum_of_singles_gc_pct,interaction_unserved_pts,interaction_gc_pts,interaction_class
splice|005|006|NMURBEAN+splice|008|035|BOASHAN+splice|033|034|WESHIGW,3,"['splice|005|006|NMURBEAN', 'splice|008|035|BOASHAN', 'splice|033|034|WESHIGW']",2.0,79.50021123886108,1.0,2516.791096438171,1788878.9922281983,9907.339465404159,21041.66053459584,85.0160560896321,2514.1243076010364,1777690.1087595543,10409.495403108747,0.6294057335139991,-4.824018055232749,2.4448298416145375,-1.7720992956962944,-0.12152574235608782,0.0,0.20252545299954683,0.9682885528197627,-0.4495109079330595,0.654980570039787,-0.5003345110563773,0.37611139227187174,1.46862306387614,-0.1735859392723249,substituting
splice|002|011|HIGFITN+splice|008|035|BOASHAN+splice|033|034|WESHIGW,3,"['splice|002|011|HIGFITN', 'splice|008|035|BOASHAN', 'splice|033|034|WESHIGW']",2.0,81.18135166168213,1.0,2516.089938241635,1783029.7171678408,9961.38825073912,20987.61174926088,84.95629414483683,2514.657381142937,1777467.7949085494,10498.153064129558,0.3129126882199129,-5.112945201994368,2.6246581135422886,-2.25262180436665,-0.10034835988887991,0.0,-0.1251166824738137,1.5191138649720548,-0.7052218584106207,0.5842252601739206,0.09357913724408196,0.029632484362207556,1.4255347277279729,-0.15474916683602125,substituting
splice|005|021|NMURBEAN+splice|008|035|BOASHAN+splice|033|034|WESHIGW,3,"['splice|005|021|NMURBEAN', 'splice|008|035|BOASHAN', 'splice|033|034|WESHIGW']",2.0,85.39333367347717,1.0,2516.039476602641,1783428.2782755918,9960.22167016673,20988.778329833276,84.97056142332218,2515.0501369472686,1772752.766867593,10530.990400278723,0.60219967541566,-5.419896025134419,2.795418071111988,-2.1335760259072023,-0.08474537225066081,0.0,-0.1027916231950643,1.5072249371459012,-0.6997026330454736,0.6011170416183154,0.16717036572508892,0.08347861720658933,1.3400545714208123,-0.18627024040165363,substituting
splice|002|011|HIGFITN+splice|005|021|NMURBEAN+splice|033|034|WESHIGW,3,"['splice|002|011|HIGFITN', 'splice|005|021|NMURBEAN', 'splice|033|034|WESHIGW']",2.0,82.64988708496094,1.0,2515.131531692261,1780768.7317295552,9979.541605642029,20969.45839435797,84.92201840600174,2515.2768754068497,1771589.9314201702,10597.392763821794,0.5181108870960349,-5.830218544782384,3.0358838543298905,-2.4435884597189816,-0.07573774628322205,0.0,-0.251763846375308,1.7041194542565474,-0.791107445067396,0.5436444100950455,0.23186090031126483,-0.07137059265054368,1.4722585539452826,-0.18039325372476434,substituting
splice|005|006|NMURBEAN+splice|007|101|EMO4THW+splice|011|033|WESHIGW,3,"['splice|005|006|NMURBEAN', 'splice|007|101|EMO4THW', 'splice|011|033|WESHIGW']",2.0,143.615864276886,1.0,2516.550014553028,1781564.0503680957,9922.416963580887,21026.583036419117,84.72912823174055,2512.9147938948254,1765456.9352584032,10532.888122921999,0.9123482305352981,-5.795857244629666,2.9901440735466966,-2.0174705664336434,-0.1695760249951883,0.0,-0.20721475363744135,1.1219472814702147,-0.5208442665959767,0.31527158694335533,-0.35303161009272443,0.007414778215009132,1.4749788915629392,-0.21462953185245048,substituting
splice|002|011|HIGFITN+splice|005|006|NMURBEAN+splice|008|035|BOASHAN,3,"['splice|002|011|HIGFITN', 'splice|005|006|NMURBEAN', 'splice|008|035|BOASHAN']",2.0,80.36840605735779,1.0,2514.9529264371313,1784316.9440145867,9991.95708200214,20957.04291799786,85.14163715732144,2514.0174541972783,1773468.025761679,10532.351022226629,0.6117346405638324,-5.1308007023701085,2.646829755523483,-1.9826185765373205,-0.1257707014873155,0.0,-0.053013772531207426,1.8306488221081052,-0.8498464757597635,0.803662601524624,0.3058953274265974,0.13688846506469954,1.5247534946815078,-0.18990223759590696,substituting
splice|002|033|WESHIGW+splice|005|006|NMURBEAN+splice|008|035|BOASHAN,3,"['splice|002|033|WESHIGW', 'splice|005|006|NMURBEAN', 'splice|008|035|BOASHAN']",2.0,74.32008671760559,1.0,2516.6675491208202,1777397.0348322704,10094.24142819391,20854.758571806087,85.22740882913718,2513.7350071058704,1774733.3140887946,10515.49544177916,0.1500913248390523,-4.006031060710303,2.0615847486415095,-1.872882366573192,-0.13699146112240435,0.0,-0.4406265618735583,2.8730553548397264,-1.3337653505611002,0.9052121952974668,,,,,
splice|001|021|PICBETS+splice|002|033|WESHIGW+splice|005|006|NMURBEAN,3,"['splice|001|021|PICBETS', 'splice|002|033|WESHIGW', 'splice|005|006|NMURBEAN']",2.0,78.52147817611694,1.0,2516.5577329274884,1772959.7627756645,10117.386870692028,20831.613129307974,85.10909605369395,2514.499158266327,1775655.150171381,10512.448719201793,-0.1517967830328093,-3.7580382940480384,1.9331140713597428,-2.0453714903019504,-0.10663407116445756,0.0,-0.6891765577791586,3.108936614888713,-1.443269071389175,0.765135477308232,,,,,
splice|002|034|WESHIGW+splice|007|101|EMO4THW+splice|011|033|WESHIGW,3,"['splice|002|034|WESHIGW', 'splice|007|101|EMO4THW', 'splice|011|033|WESHIGW']",2.0,82.42096519470215,1.0,2516.312026357532,1781465.292341026,9927.287262610038,21021.712737389968,84.74406032446863,2513.6636938602796,1764121.3866219248,10597.193899742882,0.9831469563618134,-6.321547415954121,3.291632368315356,-2.234920059857315,-0.1398245183990232,0.0,-0.2127465999859801,1.1715817730944433,-0.5438862052100646,0.3329504769383318,-0.02836501296021865,-0.230488663358841,1.199946786054662,0.017742063372860883,substituting
splice|001|021|PICBETS+splice|002|034|WESHIGW+splice|011|033|WESHIGW,3,"['splice|001|021|PICBETS', 'splice|002|034|WESHIGW', 'splice|011|033|WESHIGW']",2.0,77.152170419693,1.0,2516.1136517402074,1777997.140192327,9980.311319121329,20968.68868087867,84.79295807437312,2514.1149957317,1767520.834800415,10542.244965271346,0.592711847331362,-5.3303034410712264,2.753664878094053,-2.1030422937482918,-0.12189567446285743,0.0,-0.40701217382561605,1.7119638057045083,-0.7947490470787577,0.39084309502643855,,,,,
