period,od_index,flow,route,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving
am_peak,459,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,459,0.15458222023777993,007,2,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,462,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,462,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,465,1.854986642853359,002,2,30.0,15.0,10.5,6.75,7.5,13.912399821400193
am_peak,466,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,466,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,467,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,470,0.15458222023777993,002,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,471,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,471,0.10305481349185328,007,6,30.0,4.285714285714286,10.5,2.142857142857143,16.714285714285715,1.722487596935262
am_peak,472,1.133602948410386,102,3,30.0,10.0,10.5,5.0,11.0,12.469632432514246
am_peak,473,0.2576370337296332,102,3,30.0,10.0,10.5,5.0,11.0,2.8340073710259652
am_peak,473,0.2576370337296332,008,2,30.0,15.0,10.5,6.75,7.5,1.932277752972249
am_peak,476,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,477,0.6698562876970463,102,3,30.0,10.0,10.5,5.0,11.0,7.368419164667509
am_peak,478,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,479,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,480,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,480,0.10305481349185328,008,3,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,482,0.15458222023777993,102,3,30.0,10.0,10.5,5.0,11.0,1.7004044226155792
am_peak,484,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,484,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,484,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,487,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,488,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,488,0.10305481349185328,007,2,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,489,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,492,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,492,0.10305481349185328,010,4,28.8,4.8,10.2,2.4,15.599999999999998,1.6076550904729108
am_peak,493,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,493,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,493,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
