route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_trips,optimized_trips,baseline_veh_hours,optimized_veh_hours,veh_hours_change,demand_potential,runtime_min,direction
041,am_peak,180.0,30.0,-150.0,1.0,6.0,0.5,3.0,2.5,42.66240457395261,30.0,more service
071,am_peak,90.0,30.0,-60.0,2.0,6.0,1.2666666666666666,3.8,2.533333333333333,109.16135616706717,38.0,more service
033,early,60.0,30.0,-30.0,4.0,8.0,2.6166666666666667,5.233333333333333,2.6166666666666667,82.05606947704425,39.25,more service
051,pm_peak,90.0,40.0,-50.0,4.0,9.0,2.15,4.8375,2.6875000000000004,39.08329998419869,32.25,more service
023,early,60.0,30.0,-30.0,4.0,8.0,2.7333333333333334,5.466666666666667,2.7333333333333334,50.58521326288017,41.0,more service
032,early,80.0,40.0,-40.0,3.0,6.0,2.933333333333333,5.866666666666666,2.933333333333333,69.9658110128946,58.666666666666664,more service
011,early,80.0,45.0,-35.0,3.0,5.333333333333333,3.816666666666667,6.785185185185185,2.968518518518518,73.3987172432477,76.33333333333333,more service
071,pm_peak,90.0,30.0,-60.0,2.0,6.0,1.5,4.5,3.0,119.08511581861873,45.0,more service
072,am_peak,90.0,30.0,-60.0,2.0,6.0,1.5,4.5,3.0,126.0195937939111,45.0,more service
005,early,60.0,40.0,-20.0,4.0,6.0,6.016666666666667,9.025,3.0083333333333337,132.31454540363234,90.25,more service
072,pm_peak,90.0,30.0,-60.0,2.0,6.0,1.5333333333333334,4.6,3.0666666666666664,137.47592050244845,46.0,more service
009,am_peak,60.0,45.0,-15.0,6.0,8.0,9.75,13.0,3.25,287.2511392886713,97.5,more service
021,pm_peak,60.0,40.0,-20.0,6.0,9.0,6.583333333333333,9.875,3.291666666666667,276.09856447266776,65.83333333333333,more service
061,pm_peak,180.0,40.0,-140.0,2.0,9.0,0.95,4.275,3.325,57.83080414622749,28.5,more service
061,am_peak,180.0,40.0,-140.0,2.0,9.0,0.95,4.275,3.325,53.0115704673752,28.5,more service
042,am_peak,180.0,30.0,-150.0,1.0,6.0,0.7,4.2,3.5,144.94998925159396,42.0,more service
102,am_peak,30.0,24.0,-6.0,12.0,15.0,14.916666666666666,18.645833333333332,3.729166666666666,571.6169847407155,74.58333333333333,more service
102,pm_peak,30.0,24.0,-6.0,12.0,15.0,17.066666666666666,21.333333333333332,4.266666666666666,623.5821651716896,85.33333333333333,more service
033,am_peak,30.0,20.0,-10.0,12.0,18.0,8.683333333333334,13.025,4.341666666666667,361.04670569899463,43.416666666666664,more service
042,pm_peak,180.0,24.0,-156.0,1.0,7.5,0.6833333333333333,5.125,4.441666666666666,158.12726100173887,41.0,more service
075,am_peak,180.0,24.0,-156.0,1.0,7.5,0.7,5.25,4.55,213.5496672023404,42.0,more service
025,early,80.0,30.0,-50.0,3.0,8.0,2.783333333333333,7.422222222222222,4.638888888888888,94.89824712938375,55.666666666666664,more service
035,am_peak,60.0,30.0,-30.0,6.0,12.0,4.666666666666667,9.333333333333334,4.666666666666667,197.32046598105825,46.666666666666664,more service
005,evening,28.235294117647058,24.0,-4.235294117647058,17.0,20.0,26.666666666666668,31.372549019607845,4.7058823529411775,317.55490896871754,94.11764705882354,more service
