route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_veh_hours,optimized_veh_hours,veh_hours_change,runtime_min,direction
008,early,26.666666666666668,26.666666667,3.33333360913457e-10,13.25,13.249999999834374,-1.6562573534883995e-10,88.33333333333333,unchanged
001,owl,65.45454545454545,65.454545455,4.545483989204513e-10,15.416666666666666,15.416666666559609,-1.070574739969743e-10,84.0909090909091,unchanged
002,owl,65.45454545454545,65.454545455,4.545483989204513e-10,14.566666666666666,14.56666666656551,-1.0115641657648666e-10,79.45454545454545,unchanged
021,am_peak,51.42857142857143,51.428571429,4.2857095650106203e-10,7.266666666666667,7.266666666606111,-6.055600465515454e-11,62.285714285714285,unchanged
012,evening,34.285714285714285,34.285714286,2.857163394764939e-10,4.483333333333333,4.483333333295972,-3.736122522468577e-11,19.214285714285715,unchanged
003,evening,30.0,30.0,0.0,21.283333333333335,21.283333333333335,0.0,79.8125,unchanged
002,am_peak,15.0,15.0,0.0,32.733333333333334,32.733333333333334,0.0,81.83333333333333,unchanged
001,pm_peak,15.0,15.0,0.0,36.833333333333336,36.833333333333336,0.0,92.08333333333333,unchanged
010,am_peak,14.4,14.4,0.0,32.95,32.95,0.0,79.08,unchanged
010,midday,15.0,15.0,0.0,66.63333333333334,66.63333333333334,0.0,83.29166666666667,unchanged
009,evening,80.0,80.0,0.0,10.0,10.0,0.0,100.0,unchanged
009,am_peak,60.0,60.0,0.0,9.75,9.75,0.0,97.5,unchanged
009,midday,60.0,60.0,0.0,19.866666666666667,19.866666666666667,0.0,99.33333333333333,unchanged
009,owl,180.0,180.0,0.0,6.833333333333333,6.833333333333333,0.0,102.5,unchanged
009,pm_peak,60.0,60.0,0.0,9.916666666666666,9.916666666666666,0.0,99.16666666666667,unchanged
007,am_peak,15.0,15.0,0.0,22.85,22.85,0.0,57.125,unchanged
008,owl,80.0,80.0,0.0,13.65,13.65,0.0,91.0,unchanged
007,pm_peak,15.0,15.0,0.0,26.25,26.25,0.0,65.625,unchanged
008,am_peak,15.0,15.0,0.0,36.43333333333333,36.43333333333333,0.0,91.08333333333333,unchanged
008,evening,16.0,16.0,0.0,46.333333333333336,46.333333333333336,0.0,92.66666666666667,unchanged
008,pm_peak,15.0,15.0,0.0,39.53333333333333,39.53333333333333,0.0,98.83333333333333,unchanged
008,midday,15.0,15.0,0.0,78.68333333333334,78.68333333333334,0.0,98.35416666666667,unchanged
007,midday,15.0,15.0,0.0,46.666666666666664,46.666666666666664,0.0,58.333333333333336,unchanged
001,midday,15.0,15.0,0.0,71.45,71.45,0.0,89.3125,unchanged
006,early,60.0,60.0,0.0,2.466666666666667,2.466666666666667,0.0,37.0,unchanged
004,pm_peak,30.0,30.0,0.0,15.583333333333334,15.583333333333334,0.0,77.91666666666667,unchanged
005,early,60.0,60.0,0.0,6.016666666666667,6.016666666666667,0.0,90.25,unchanged
005,am_peak,30.0,30.0,0.0,18.733333333333334,18.733333333333334,0.0,93.66666666666667,unchanged
004,owl,120.0,120.0,0.0,7.933333333333334,7.933333333333334,0.0,79.33333333333333,unchanged
004,midday,30.0,30.0,0.0,30.916666666666668,30.916666666666668,0.0,77.29166666666667,unchanged
004,early,48.0,48.0,0.0,5.8,5.8,0.0,69.6,unchanged
004,evening,30.0,30.0,0.0,19.866666666666667,19.866666666666667,0.0,74.5,unchanged
005,owl,144.0,144.0,0.0,7.916666666666667,7.916666666666667,0.0,95.0,unchanged
007,evening,19.2,19.2,0.0,22.516666666666666,22.516666666666666,0.0,54.04,unchanged
002,midday,14.4,14.4,0.0,75.5,75.5,0.0,90.6,unchanged
003,early,40.0,40.0,0.0,8.0,8.0,0.0,80.0,unchanged
003,pm_peak,30.0,30.0,0.0,15.866666666666667,15.866666666666667,0.0,79.33333333333333,unchanged
003,owl,120.0,120.0,0.0,8.083333333333334,8.083333333333334,0.0,80.83333333333333,unchanged
002,early,24.0,24.0,0.0,12.4,12.4,0.0,74.4,unchanged
002,evening,15.0,15.0,0.0,43.85,43.85,0.0,82.21875,unchanged
035,early,60.0,60.0,0.0,3.1,3.1,0.0,46.5,unchanged
033,owl,72.0,72.0,0.0,6.65,6.65,0.0,39.9,unchanged
033,early,60.0,60.0,0.0,2.6166666666666667,2.6166666666666667,0.0,39.25,unchanged
034,evening,15.0,15.0,0.0,23.2,23.2,0.0,43.5,unchanged
024,midday,30.0,30.0,0.0,29.016666666666666,29.016666666666666,0.0,72.54166666666667,unchanged
024,evening,30.0,30.0,0.0,18.65,18.65,0.0,69.9375,unchanged
024,pm_peak,30.0,30.0,0.0,15.366666666666667,15.366666666666667,0.0,76.83333333333333,unchanged
025,evening,60.0,60.0,0.0,7.983333333333333,7.983333333333333,0.0,59.875,unchanged
033,evening,30.0,30.0,0.0,11.116666666666667,11.116666666666667,0.0,41.6875,unchanged
025,owl,120.0,120.0,0.0,5.583333333333333,5.583333333333333,0.0,55.833333333333336,unchanged
031,evening,30.0,30.0,0.0,17.333333333333332,17.333333333333332,0.0,65.0,unchanged
009,early,60.0,60.0,0.0,6.266666666666667,6.266666666666667,0.0,94.0,unchanged
010,pm_peak,15.0,15.0,0.0,34.45,34.45,0.0,86.125,unchanged
010,owl,90.0,90.0,0.0,10.616666666666667,10.616666666666667,0.0,79.625,unchanged
011,early,80.0,80.0,0.0,3.816666666666667,3.816666666666667,0.0,76.33333333333333,unchanged
011,am_peak,60.0,60.0,0.0,7.6,7.6,0.0,76.0,unchanged
006,owl,90.0,90.0,0.0,5.066666666666666,5.066666666666666,0.0,38.0,unchanged
024,owl,90.0,90.0,0.0,9.05,9.05,0.0,67.875,unchanged
021,evening,60.0,60.0,0.0,8.3,8.3,0.0,62.25,unchanged
023,am_peak,15.0,15.0,0.0,17.733333333333334,17.733333333333334,0.0,44.333333333333336,unchanged
023,evening,15.0,15.0,0.0,21.85,21.85,0.0,40.96875,unchanged
023,early,60.0,60.0,0.0,2.7333333333333334,2.7333333333333334,0.0,41.0,unchanged
023,pm_peak,15.0,15.0,0.0,20.266666666666666,20.266666666666666,0.0,50.666666666666664,unchanged
024,am_peak,30.0,30.0,0.0,14.1,14.1,0.0,70.5,unchanged
025,early,80.0,80.0,0.0,2.783333333333333,2.783333333333333,0.0,55.666666666666664,unchanged
024,early,60.0,60.0,0.0,4.316666666666666,4.316666666666666,0.0,64.75,unchanged
021,pm_peak,60.0,60.0,0.0,6.583333333333333,6.583333333333333,0.0,65.83333333333333,unchanged
012,pm_peak,20.0,20.0,0.0,6.483333333333333,6.483333333333333,0.0,21.61111111111111,unchanged
021,midday,60.0,60.0,0.0,12.716666666666667,12.716666666666667,0.0,63.583333333333336,unchanged
021,owl,240.0,240.0,0.0,3.1166666666666667,3.1166666666666667,0.0,62.333333333333336,unchanged
021,early,120.0,120.0,0.0,2.033333333333333,2.033333333333333,0.0,61.0,unchanged
011,owl,180.0,180.0,0.0,5.7,5.7,0.0,85.5,unchanged
032,evening,60.0,60.0,0.0,8.166666666666666,8.166666666666666,0.0,61.25,unchanged
032,owl,144.0,144.0,0.0,4.783333333333333,4.783333333333333,0.0,57.4,unchanged
032,early,80.0,80.0,0.0,2.933333333333333,2.933333333333333,0.0,58.666666666666664,unchanged
031,owl,90.0,90.0,0.0,7.966666666666667,7.966666666666667,0.0,59.75,unchanged
034,early,30.0,30.0,0.0,4.866666666666666,4.866666666666666,0.0,36.5,unchanged
074,pm_peak,180.0,180.0,0.0,0.9,0.9,0.0,54.0,unchanged
073,pm_peak,90.0,90.0,0.0,2.45,2.45,0.0,36.75,unchanged
075,am_peak,180.0,180.0,0.0,0.7,0.7,0.0,42.0,unchanged
071,am_peak,90.0,90.0,0.0,1.2666666666666666,1.2666666666666666,0.0,38.0,unchanged
072,pm_peak,90.0,90.0,0.0,1.5333333333333334,1.5333333333333334,0.0,46.0,unchanged
072,am_peak,90.0,90.0,0.0,1.5,1.5,0.0,45.0,unchanged
071,pm_peak,90.0,90.0,0.0,1.5,1.5,0.0,45.0,unchanged
061,am_peak,180.0,180.0,0.0,0.95,0.95,0.0,28.5,unchanged
061,pm_peak,180.0,180.0,0.0,0.95,0.95,0.0,28.5,unchanged
052,pm_peak,60.0,60.0,0.0,1.7,1.7,0.0,34.0,unchanged
073,am_peak,90.0,90.0,0.0,2.5833333333333335,2.5833333333333335,0.0,38.75,unchanged
044,pm_peak,180.0,180.0,0.0,0.4,0.4,0.0,24.0,unchanged
052,am_peak,60.0,60.0,0.0,1.75,1.75,0.0,35.0,unchanged
051,am_peak,60.0,60.0,0.0,2.683333333333333,2.683333333333333,0.0,26.833333333333332,unchanged
051,pm_peak,90.0,90.0,0.0,2.15,2.15,0.0,32.25,unchanged
046,am_peak,180.0,180.0,0.0,0.35,0.35,0.0,21.0,unchanged
045,pm_peak,120.0,120.0,0.0,1.8333333333333333,1.8333333333333333,0.0,36.666666666666664,unchanged
045,am_peak,120.0,120.0,0.0,1.6333333333333333,1.6333333333333333,0.0,32.666666666666664,unchanged
046,pm_peak,180.0,180.0,0.0,0.35,0.35,0.0,21.0,unchanged
042,pm_peak,180.0,180.0,0.0,0.6833333333333333,0.6833333333333333,0.0,41.0,unchanged
044,am_peak,180.0,180.0,0.0,0.5333333333333333,0.5333333333333333,0.0,32.0,unchanged
043,am_peak,180.0,180.0,0.0,1.25,1.25,0.0,37.5,unchanged
043,pm_peak,180.0,180.0,0.0,1.5,1.5,0.0,45.0,unchanged
041,pm_peak,180.0,180.0,0.0,0.5166666666666667,0.5166666666666667,0.0,31.0,unchanged
042,am_peak,180.0,180.0,0.0,0.7,0.7,0.0,42.0,unchanged
041,am_peak,180.0,180.0,0.0,0.5,0.5,0.0,30.0,unchanged
001,am_peak,15.0,15.0,0.0,33.233333333333334,33.233333333333334,0.0,83.08333333333333,unchanged
141,midday,144.0,144.0,0.0,3.566666666666667,3.566666666666667,0.0,42.8,unchanged
101,owl,60.0,60.0,0.0,9.7,9.7,0.0,48.5,unchanged
101,pm_peak,15.0,15.0,0.0,21.233333333333334,21.233333333333334,0.0,53.083333333333336,unchanged
102,am_peak,30.0,30.0,0.0,14.916666666666666,14.916666666666666,0.0,74.58333333333333,unchanged
102,early,48.0,48.0,0.0,5.483333333333333,5.483333333333333,0.0,65.8,unchanged
102,evening,32.0,32.0,0.0,17.65,17.65,0.0,70.6,unchanged
102,owl,120.0,120.0,0.0,6.816666666666666,6.816666666666666,0.0,68.16666666666667,unchanged
141,am_peak,180.0,180.0,0.0,0.7166666666666667,0.7166666666666667,0.0,43.0,unchanged
141,pm_peak,120.0,120.0,0.0,2.1666666666666665,2.1666666666666665,0.0,43.333333333333336,unchanged
141,evening,240.0,240.0,0.0,0.7,0.7,0.0,42.0,unchanged
101,early,24.0,24.0,0.0,8.316666666666666,8.316666666666666,0.0,49.9,unchanged
074,am_peak,180.0,180.0,0.0,0.85,0.85,0.0,51.0,unchanged
101,am_peak,15.0,15.0,0.0,19.433333333333334,19.433333333333334,0.0,48.583333333333336,unchanged
075,pm_peak,180.0,180.0,0.0,0.65,0.65,0.0,39.0,unchanged
101,midday,15.0,15.0,0.0,41.43333333333333,41.43333333333333,0.0,51.791666666666664,unchanged
007,owl,102.85714285714286,102.857142857,-1.4286172245192574e-10,6.316666666666666,6.31666666667544,8.773426429797837e-12,54.142857142857146,unchanged
022,owl,102.85714285714286,102.857142857,-1.4286172245192574e-10,8.35,8.350000000011597,1.1597833804444235e-11,71.57142857142857,unchanged
035,evening,53.333333333333336,53.333333333,-3.333369136271358e-10,7.1,7.100000000044376,4.437605838347736e-11,47.333333333333336,unchanged
006,midday,14.693877551020408,14.693877551,-2.0408563727869478e-11,34.46666666666667,34.46666666671454,4.786926410815795e-11,42.204081632653065,unchanged
012,am_peak,25.714285714285715,25.714285714,-2.857163394764939e-10,4.966666666666667,4.966666666721851,5.518430157280818e-11,21.285714285714285,unchanged
011,evening,68.57142857142857,68.571428571,-4.2857095650106203e-10,9.1,9.100000000056875,5.687539328391722e-11,78.0,unchanged
001,early,21.818181818181817,21.818181818,-1.8181722793997324e-10,14.383333333333333,14.383333333453196,1.198632304522107e-10,78.45454545454545,unchanged
003,am_peak,25.714285714285715,24.0,-1.7142857142857153,16.983333333333334,18.196428571428573,1.2130952380952387,72.78571428571429,more service
002,pm_peak,15.652173913043478,15.0,-0.6521739130434785,35.93333333333333,37.495652173913044,1.5623188405797137,93.73913043478261,more service
025,am_peak,51.42857142857143,40.0,-11.42857142857143,7.816666666666666,10.05,2.2333333333333343,67.0,more service
031,am_peak,30.0,24.0,-6.0,12.716666666666667,15.895833333333334,3.179166666666667,63.583333333333336,more service
004,am_peak,30.0,24.0,-6.0,14.583333333333334,18.229166666666668,3.645833333333334,72.91666666666667,more service
031,pm_peak,30.0,24.0,-6.0,15.116666666666667,18.895833333333332,3.779166666666665,75.58333333333333,more service
025,pm_peak,60.0,40.0,-20.0,7.833333333333333,11.75,3.916666666666667,78.33333333333333,more service
102,pm_peak,30.0,24.0,-6.0,17.066666666666666,21.333333333333332,4.266666666666666,85.33333333333333,more service
035,am_peak,60.0,30.0,-30.0,4.666666666666667,9.333333333333334,4.666666666666667,46.666666666666664,more service
035,midday,60.0,40.0,-20.0,9.466666666666667,14.2,4.7333333333333325,47.333333333333336,more service
005,pm_peak,30.0,24.0,-6.0,19.483333333333334,24.354166666666668,4.870833333333334,97.41666666666667,more service
025,midday,55.38461538461539,40.0,-15.384615384615387,14.049999999999999,19.45384615384615,5.4038461538461515,64.84615384615384,more service
031,early,40.0,20.0,-20.0,5.55,11.1,5.55,55.5,more service
035,pm_peak,72.0,30.0,-42.0,4.15,9.959999999999999,5.809999999999999,49.8,more service
032,am_peak,60.0,30.0,-30.0,6.266666666666667,12.533333333333333,6.266666666666667,62.666666666666664,more service
003,midday,28.8,24.0,-4.800000000000001,32.416666666666664,38.9,6.483333333333334,77.8,more service
031,midday,30.0,24.0,-6.0,26.4,33.0,6.600000000000001,66.0,more service
102,midday,30.0,24.0,-6.0,30.416666666666668,38.020833333333336,7.604166666666668,76.04166666666667,more service
011,midday,60.0,40.0,-20.0,15.3,22.95,7.649999999999999,76.5,more service
011,pm_peak,60.0,30.0,-30.0,7.65,15.3,7.65,76.5,more service
032,pm_peak,60.0,24.0,-36.0,6.383333333333334,15.958333333333334,9.575,63.833333333333336,more service
005,midday,30.0,24.0,-6.0,38.8,48.5,9.700000000000003,97.0,more service
032,midday,60.0,30.0,-30.0,12.833333333333334,25.666666666666668,12.833333333333334,64.16666666666667,more service
